web-scraper-order,web-scraper-start-url,get_more_details,get_more_details-href,pages,name,dates,updated,address,city,state,zip,image-src,fulladdress,attendance,exibitors,promotor,showrating
"1672473651-304","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/14558/Hood-River-Oregon/Festivals/Hood-River-Valley-Harvest-Fest","https://festivalnet.com/fairs-festivals/Oregon?page=11","Hood River Valley Harvest Fest","October 2023","Updated 4/18/2022","Hood River Event Site","Hood River","OR","97031","/festival-community/image.php?mode=fno_event_image&band_id=83558&fno_event_id=14558&width=480&height=crop&theme=Sage","403 Portway Avenue, Hood River, OR 97031","10,000
					
# Food Booths: 12","120
					
Juried: yes
					
Prize Money: na","Hood River County Chamber of Commerce","null"
"1672473654-305","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/26227/Hood-River-Oregon/Fiber-Arts-Festivals/Columbia-River-Gorge-Quilt-Show","https://festivalnet.com/fairs-festivals/Oregon?page=11","Columbia River Gorge Quilt Show","October 2023","Updated 1/11/2022","Hood River County Fairgrounds","Hood River","OR","97031","/festival-community/image.php?mode=fno_event_image&band_id=98222&fno_event_id=26227&width=480&height=crop&theme=Sage","3020 Wyeast Road, Hood River, OR 97031","3
					
Juried: no
					
Prize Money: $tba","Art & Craft: until full
					
Music: na
					
Food: na","Columbia River Gorge Quilters Guild","null"
"1672473657-306","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/94302/Salem-Oregon/Flea-Markets/Fall-Rummage-Sale","https://festivalnet.com/fairs-festivals/Oregon?page=11","Fall Rummage Sale","October 2023","Updated 10/5/2022","South Salem Seniors Center Building","Salem","OR","97306","/festival-community/image.php?mode=fno_event_image&band_id=609383&fno_event_id=94302&width=480&height=crop&theme=Sage","6450 Fairway Avenue SE, Salem, OR 97306","500
					
# Food Booths: 1","1
					
Juried: no
					
Prize Money: na","South Salem Seniors, Inc.","null"
"1672473660-307","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/24449/Portland-Oregon/Lifestyle-Healthy-Living-Events/Portland-Body-Mind-Spirit-Expo","https://festivalnet.com/fairs-festivals/Oregon?page=11","Portland Body Mind Spirit Expo","October 2023","Updated 9/13/2022","Oregon Convention Center","Portland","OR","97232","/festival-community/image.php?mode=band_image&band_id=24762&width=480&height=crop&theme=Sage","777 Northeast Martin Luther King Junior Boulevard, Portland, OR 97232","1,500
					
# Food Booths: na","100
					
Juried: no
					
Prize Money: na","Body Mind Spirit Expos","null"
"1672473662-308","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21719/Bend-Oregon/Festivals/First-Interstate-Bank-Bend-Fall-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","First Interstate Bank Bend Fall Festival","September - October 2023","Updated 6/2/2022","Downtown","Bend","OR","97703","/festival-community/image.php?mode=fno_event_image&band_id=444972&fno_event_id=21719&width=480&height=crop&theme=Sage","777 NW Minnesota Avenue, Bend, OR 97703","kids' area,  pumpkin patches,  special events,  contests,  demonstration booth","50,000
					
# Food Booths: 35","Lay It Out Events","null"
"1672473665-309","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/27304/Albany-Oregon/Home-and-Garden-Shows/Albany-Home,-Garden-and-Wedding-Show-Fall","https://festivalnet.com/fairs-festivals/Oregon?page=11","Albany Home, Garden and Wedding Show ‑ Fall","September - October 2023","Updated 12/14/2021","Linn County Fair and Expo Center","Albany","OR","97322","/festival-community/image.php?mode=fno_event_image&band_id=569890&fno_event_id=27304&width=480&height=crop&theme=Sage","3700 Knox Butte Road, Albany, OR 97322","125
					
Juried: no
					
Prize Money: na","Art & Craft: 09/15/2022
					
Music: na
					
Food: na","Willamette Valley Productions","null"
"1672473668-310","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/84870/Portland-Oregon/Art-Shows/Local-14-Art-Show-Sale","https://festivalnet.com/fairs-festivals/Oregon?page=11","Local 14 Art Show & Sale","September - October 2023","Updated 9/13/2022","World Forestry Center, Miller Hall","Portland","OR","97221","/festival-community/image.php?mode=fno_event_image&band_id=517835&fno_event_id=84870&width=480&height=crop&theme=Sage","4033 SW Canyon Road, Portland, OR 97221","50
					
Juried: yes
					
Prize Money: na","Art & Craft: 03/17/2022
					
Music: na
					
Food: na","Local 14 Art Show","null"
"1672473671-311","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/24360/Sisters-Oregon/Folk-Music-Festivals/Sisters-Folk-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","Sisters Folk Festival","September - October 2023","Updated 2/14/2022","Village Green, Sisters Art Works & other locations","Sisters","OR","97759","/festival-community/image.php?mode=fno_event_image&band_id=24360&fno_event_id=24360&width=480&height=crop&theme=Sage","204 W. Adams Avenue, Sisters, OR 97759","3,500
					
# Food Booths: 10","15
					
Juried: no
					
Prize Money: na","Sisters Folk Festival, Inc.","null"
"1672473674-312","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/79735/Joseph-Oregon/Ethnic-Music-Festivals/Oregons-Alpenfest","https://festivalnet.com/fairs-festivals/Oregon?page=11","Oregon's Alpenfest","September - October 2023","Updated 12/14/2021","Chief Joseph Days Rodeo Grounds","Joseph","OR","97846","/festival-community/image.php?mode=fno_event_image&band_id=469123&fno_event_id=79735&width=480&height=crop&theme=Sage","405 W. Wallowa Avenue, Joseph, OR 97846","main street procession,  accordions at alpenfest","1,000
					
# Food Booths: 6","Alpenfest","null"
"1672473677-313","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/90192/Joseph-Oregon/Music-Festivals/Oregons-Alpenfest","https://festivalnet.com/fairs-festivals/Oregon?page=11","Oregon's Alpenfest","September - October 2023","Updated 5/10/2022","Chief Joseph Rodeo Grounds","Joseph","OR","97846","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=MusicFestival%2Fdefault2.jpg","405 W. Wallowa Avenue, Joseph, OR 97846","parade,  demonstrations,  music,  dancing","250
					
# Food Booths: na","Wallow County Chamber of Commerce","null"
"1672473680-314","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/27495/Vernonia-Oregon/Festivals/Vernonia-Salmon-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","Vernonia Salmon Festival","October 2023","Updated 9/8/2022","Hawkins Park","Vernonia","OR","97064","/festival-community/image.php?mode=fno_event_image&band_id=70400&fno_event_id=27495&width=480&height=crop&theme=Sage","Park Drive, Vernonia, OR 97064","500
					
# Food Booths: 4","25
					
Juried: yes
					
Prize Money: na","Vernonia Salmon Festival Committee","null"
"1672473684-315","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/65541/Hood-River-Oregon/Wine-Beer-Events/Hood-River-Hops-Fest","https://festivalnet.com/fairs-festivals/Oregon?page=11","Hood River Hops Fest","October 2023","Updated 4/18/2022","Columbia Lot near Full Sail","Hood River","OR","97031","/festival-community/image.php?mode=fno_event_image&band_id=83558&fno_event_id=65541&width=480&height=crop&theme=Sage","3 5th Street, Hood River, OR 97031","10,000
					
# Food Booths: 7","tba
					
Juried: yes
					
Prize Money: na","Hood River County Chamber of Commerce","null"
"1672473686-316","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/27951/Jacksonville-Oregon/Music-Festivals/Britt-Music-Arts-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","Britt Music & Arts Festival","June tba - September tba, 2023","Updated 11/9/2022","Britt Pavillion","Jacksonville","OR","97530","/festival-community/image.php?mode=fno_event_image&band_id=43407&fno_event_id=27951&width=480&height=crop&theme=Sage","350 First Street, Jacksonville, OR 97530","60,000
					
# Food Booths: 2","na
					
Juried: no
					
Prize Money: na","Britt Music & Arts Festival","null"
"1672473689-317","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/93399/Waldport-Oregon/Farmers-Markets/Waldport-Wedensday-Market","https://festivalnet.com/fairs-festivals/Oregon?page=11","Waldport Wedensday Market","May - September 2023","Updated 4/18/2022","Waldport Community Center Parking Lot","Waldport","OR","97376","/festival-community/image.php?mode=fno_event_image&band_id=285234&fno_event_id=93399&width=480&height=crop&theme=Sage","265 Hemlock Street, Waldport, OR 97376","250
					
# Food Booths: 3","40
					
Juried: no
					
Prize Money: na","Waldport Oregon Beachcomber Days","null"
"1672473692-318","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/91180/Salem-Oregon/Farmers-Markets/Monday-Hospital-Market","https://festivalnet.com/fairs-festivals/Oregon?page=11","Monday Hospital Market","May - September 2023","Updated 1/10/2022","Salem Hospital ‑ Between Building A & C","Salem","OR","97301","/festival-community/image.php?mode=band_image&band_id=21734&width=480&height=crop&theme=Sage","875 Oak Street Southeast, Salem, OR 97301","15
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","Salem Community Markets","null"
"1672473696-319","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/1936/Corvallis-Oregon/Craft-Shows/Corvallis-Fall-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","Corvallis Fall Festival","September 2023","Updated 7/12/2022","Central Park","Corvallis","OR","97333","/festival-community/image.php?mode=fno_event_image&band_id=1936&fno_event_id=1936&width=480&height=crop&theme=Sage","582 SW Adams Avenue, Corvallis, OR 97333","family art activities area,  5k & 10k run,  wine tasting","27,000
					
# Food Booths: 20","Corvallis Fall Festival, Inc.","null"
"1672473700-320","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/70832/Sisters-Oregon/Wine-Beer-Events/Sisters-Fresh-Hop-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","Sisters Fresh Hop Festival","September 2023","Updated 8/5/2022","Three Creeks Brewing Production Facility","Sisters","OR","97759","/festival-community/image.php?mode=fno_event_image&band_id=523374&fno_event_id=70832&width=480&height=crop&theme=Sage","265 E. Barclay Drive, Sisters, OR 97759","2,500
					
# Food Booths: 4","4
					
Juried: no
					
Prize Money: na","Sisters Fresh Hop Festival","null"
"1672473710-321","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/90580/Springfield-Oregon/Vintages/Star-Route-Barn-Market","https://festivalnet.com/fairs-festivals/Oregon?page=11","Star Route Barn Market","September 2023","Updated 8/2/2022","The Barn at Star Route Home Decor & More","Springfield","OR","97478","/festival-community/image.php?mode=fno_event_image&band_id=590070&fno_event_id=90580&width=480&height=crop&theme=Sage","37342 Parsons Creek Road, Springfield, OR 97478","500
					
# Food Booths: 2","35
					
Juried: no
					
Prize Money: na","Star Route Home Decor & More","null"
"1672473713-322","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21650/Coos-Bay-Oregon/Festivals/Bay-Area-Fun-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","Bay Area Fun Festival","September 2023","Updated 8/3/2022","Downtown","Coos Bay","OR","97420","/festival-community/image.php?mode=fno_event_image&band_id=603581&fno_event_id=21650&width=480&height=crop&theme=Sage","200 Central Avenue, Coos Bay, OR 97420","parade,  car cruise","20,000
					
# Food Booths: 25","Bay Area Fun Festival, Inc.","null"
"1672473716-323","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/26077/Rockaway-Beach-Oregon/Festivals/Rockaway-Beach-Kite-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","Rockaway Beach Kite Festival","September 2023","Updated 8/4/2022","The Ocean's Edge","Rockaway Beach","OR","97136","/festival-community/image.php?mode=fno_event_image&band_id=21713&fno_event_id=26077&width=480&height=crop&theme=Sage","103 South 1st Street, Rockaway Beach, OR 97136","aka kite exibition and kite making","4,500
					
# Food Booths: 5","Rockaway Beach Chamber of Commerce","null"
"1672473719-324","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/8808/Winston-Oregon/Festivals/Winston-Melon-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=11","Winston Melon Festival","September 2023","Updated 8/15/2022","Riverbend Park","Winston","OR","97496","/festival-community/image.php?mode=fno_event_image&band_id=70750&fno_event_id=8808&width=480&height=crop&theme=Sage","243 Thompson Street, Winston, OR 97496","parade,  games,  contests,  kids' activities,  special events","5,000
					
# Food Booths: 10","Winston‑Dillard Area Festival Association, Inc.","null"
"1672473727-325","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/29778/Joseph-Oregon/Gallery-Exhibition-Events/Wallowa-Valley-Festival-of-Arts","https://festivalnet.com/fairs-festivals/Oregon?page=10","Wallowa Valley Festival of Arts","September 2023","Updated 8/29/2022","Josephy Center for Arts and Culture","Joseph","OR","97846","/festival-community/image.php?mode=fno_event_image&band_id=46537&fno_event_id=29778&width=480&height=crop&theme=Sage","403 N. Main Street, Joseph, OR 97846","en plein air,  artist demos,  live music,  quick draw,  silent auction","1,000
					
# Food Booths: na","Josephy Center For Arts and Culture","null"
"1672473730-326","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/14422/Mount-Angel-Oregon/Ethnic-Music-Festivals/Mount-Angel-Oktoberfest","https://festivalnet.com/fairs-festivals/Oregon?page=10","Mount Angel Oktoberfest","September 2023","Updated 5/25/2022","City Hall/Various locations","Mount Angel","OR","97362","/festival-community/image.php?mode=fno_event_image&band_id=14422&fno_event_id=14422&width=480&height=crop&theme=Sage","5 N. Garfield Street, Mount Angel, OR 97362","car show,  kindergarten,  sports,  volkswalk,  triathlon,  weiner dog races","375,000
					
# Food Booths: 50","Oktoberfest, Inc. ‑ OR","null"
"1672473733-327","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/58902/Coos-Bay-Oregon/Fiber-Arts-Festivals/A-Sea-of-Quilts-Quilt-Show","https://festivalnet.com/fairs-festivals/Oregon?page=10","A Sea of Quilts Quilt Show","September 2023","Updated 9/12/2022","Gloria Dei Lutheran Church","Coos Bay","OR","97420","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=FiberArtsFestival%2Fquilt.jpg","1290 Thompson Road, Coos Bay, OR 97420","500
					
# Food Booths: na","150
					
Juried: no
					
Prize Money: No","Coos Sand 'N Sea Quilters","null"
"1672473736-328","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/16207/Central-Point-Oregon/Wine-Beer-Events/Southern-Oregon-Brewfest","https://festivalnet.com/fairs-festivals/Oregon?page=10","Southern Oregon Brewfest","September 15 -  17, 2023","Updated 12/8/2021","Jackson County Expo","Central Point","OR","97502","/festival-community/image.php?mode=fno_event_image&band_id=8510&fno_event_id=16207&width=480&height=crop&theme=Sage","1 Peninger Road, Central Point, OR 97502","games,  micro brew tasting,  bbq contest","4,500
					
# Food Booths: 6","Jackson County Fairgrounds","null"
"1672473739-329","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/26097/Portland-Oregon/Boat-Auto-Camping-Shows/Portland-Fall-RV-and-Van-Show","https://festivalnet.com/fairs-festivals/Oregon?page=10","Portland Fall RV and Van Show","September 14 -  17, 2023","Updated 10/17/2022","Portland Expo Center","Portland","OR","97217","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=BoatAutoCamping%2FRV2.jpg","2060 North Marine Drive, Portland, OR 97217","tba
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: na","O'Loughlin Trade Shows","null"
"1672473742-330","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21703/Pendleton-Oregon/Festivals/Pendleton-Main-Street-Show","https://festivalnet.com/fairs-festivals/Oregon?page=10","Pendleton Main Street Show","September 2023","Updated 6/15/2022","Downtown Main Street","Pendleton","OR","97801","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ChildrenFamilyEvent%2Fdefault4.jpg","312 S. Main Street, Pendleton, OR 97801","carnival,  face painting","58,000
					
# Food Booths: 30","Main Street Cowboys","null"
"1672473744-331","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/55738/Salem-Oregon/Farmers-Markets/Thursday-Farmers-Market","https://festivalnet.com/fairs-festivals/Oregon?page=10","Thursday Farmers Market","May - September 2023","Updated 1/10/2022","Greenway between Gerth St & Kingwood Ave","Salem","OR","97304","/festival-community/image.php?mode=band_image&band_id=21734&width=480&height=crop&theme=Sage","1260 Edgewater Street Northwest, Salem, OR 97304","65
					
Juried: yes
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: until full","Salem Community Markets","null"
"1672473747-332","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/26114/Coburg-Oregon/Antiques-Collectibles-Shows/Coburg-Antique-Fair","https://festivalnet.com/fairs-festivals/Oregon?page=10","Coburg Antique Fair","September 2023","Updated 8/26/2022","Historic Coburg City Parks","Coburg","OR","97408","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=AntiquesCollectibles%2Fdefault.jpg","91055 S Willamette, Coburg, OR 97408","24,000
					
# Food Booths: local","300+
					
Juried: no
					
Prize Money: na","Coburg Chamber of Commerce","null"
"1672473751-333","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/12038/Philomath-Oregon/Renaissance-Medieval-Pirate-Fairs/Shrewsbury-Renaissance-Faire","https://festivalnet.com/fairs-festivals/Oregon?page=10","Shrewsbury Renaissance Faire","September 2023","Updated 6/14/2022","Kings Valley","Philomath","OR","97370","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=RenaissanceMedievalPirateFair%2Frenaissance%2Cmedieval3.jpg","Kings Valley Highway, Philomath, OR 97370","novelty,  jousting,  children's area,  storytellers,  dancers,  living history","18,000
					
# Food Booths: 15","Shrewsbury Renaissance Faire","null"
"1672473754-334","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21700/Enterprise-Oregon/Specialty-Theme-Events/Hells-Canyon-Mule-Days","https://festivalnet.com/fairs-festivals/Oregon?page=10","Hells Canyon Mule Days","September 2023","Updated 8/2/2022","Walloma County event center & Fairgrounds","Enterprise","OR","97828","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ThemeEvent%2Fdefault4.jpg","668 NW First Street, Enterprise, OR 97828","mule show,  parade,  pit b‑b‑q,  vintique show,  dutch oven cook off,  cowboy poetry","2,000
					
# Food Booths: 5","Hells Canyon Mule Days, Inc.","null"
"1672473757-335","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/7464/Bandon-Oregon/Festivals/Bandon-Cranberry-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=10","Bandon Cranberry Festival","September 2023","Updated 2/14/2022","Old Town Bandon","Bandon","OR","97411","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=FestivalEventFair%2Fdefault8.jpg","370 Us‑101, Bandon, OR 97411","10,000
					
# Food Booths: 10","50
					
Juried: yes
					
Prize Money: na","Bandon Chamber of Commerce","null"
"1672473759-336","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/73653/Aumsville-Oregon/Marketplace-Expos/Aumsville-Saturday-Market","https://festivalnet.com/fairs-festivals/Oregon?page=10","Aumsville Saturday Market","June - September 2023","Updated 3/8/2022","Porter‑Boone Park","Aumsville","OR","97325","/festival-community/image.php?mode=fno_event_image&band_id=453836&fno_event_id=73653&width=480&height=crop&theme=Sage","1105 Main Street, Aumsville, OR 97325","60
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: until full","City of Aumsville","null"
"1672473762-337","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/36218/Portland-Oregon/Art-Shows/Art-in-the-Pearl-Fine-Arts-Crafts-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=10","Art in the Pearl Fine Arts & Crafts Festival","September 2023","Updated 7/19/2022","North West Park Blocks","Portland","OR","97209","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=FineArtCraft%2Ffestival%2Cpark%2Cspring.jpg","299 NW 8th Avenue, Portland, OR 97209","kids' area,  artist demonstrations,  arts education,  collaboration exhibit","75,000
					
# Food Booths: 12","Art in the Pearl Fine Arts & Crafts Festival","null"
"1672473765-338","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/81060/Sumpter-Oregon/Flea-Markets/Sumpter-Flea-Market-Labor-Day","https://festivalnet.com/fairs-festivals/Oregon?page=10","Sumpter Flea Market ‑ Labor Day","September 2023","Updated 8/17/2022","The Grounds, 3 Blocks Off Main Street","Sumpter","OR","97877","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=FleaMarketConsignment%2Fdefault4.jpg","349 Ibex, Sumpter, OR 97877","95
					
Juried: no
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: until full","City of Sumpter","null"
"1672473768-339","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/30751/Salem-Oregon/State-Fairs/Oregon-State-Fair","https://festivalnet.com/fairs-festivals/Oregon?page=10","Oregon State Fair","August - September 2023","Updated 5/19/2022","Oregon State Fairgrounds","Salem","OR","97301","/festival-community/image.php?mode=fno_event_image&band_id=63273&fno_event_id=30751&width=480&height=crop&theme=Sage","2330 17th Street NE, Salem, OR 97301","275,000
					
# Food Booths: 75","525
					
Juried: no
					
Prize Money: na","Oregon State Fair & Expo Center","null"
"1672473771-340","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/35279/Sisters-Oregon/Craft-Shows/Sisters-Fall-Street-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=10","Sisters Fall Street Festival","September 2023","Updated 5/19/2022","Downtown","Sisters","OR","97759","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fdefault2.jpeg","114 N. Oak Street, Sisters, OR 97759","4,000
					
# Food Booths: 3","100
					
Juried: yes
					
Prize Money: na","Central Oregon Shows","null"
"1672473774-341","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/69335/Enterprise-Oregon/Music-Festivals/Juniper-Jam-Music-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=10","Juniper Jam Music Festival","September 2023","Updated 5/10/2022","Wallowa County Fairgrounds","Enterprise","OR","97828","/festival-community/image.php?mode=fno_event_image&band_id=424890&fno_event_id=69335&width=480&height=crop&theme=Sage","668 NW 1st Street, Enterprise, OR 97828","250
					
# Food Booths: local","tba
					
Juried: no
					
Prize Money: na","Wallow County Chamber of Commerce","null"
"1672473786-342","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/94061/Portland-Oregon/Food-Festivals/Ukrainian-Day-PDX","https://festivalnet.com/fairs-festivals/Oregon?page=10","Ukrainian Day PDX","September 2023","Updated 8/24/2022","Westmoreland Park","Portland","OR","97202","/festival-community/image.php?mode=fno_event_image&band_id=625340&fno_event_id=94061&width=480&height=crop&theme=Sage","7530 SE 22nd Avenue, Portland, OR 97202","undisclosed
					
# Food Booths: 5","17
					
Juried: no
					
Prize Money: na","Ukrainian Foundation","null"
"1672473789-343","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/60525/Bend-Oregon/Marketplace-Expos/Downtown-Bend-Artisans-Market","https://festivalnet.com/fairs-festivals/Oregon?page=10","Downtown Bend Artisans Market","June - September 2023","Updated 6/16/2022","Downtown, across from library","Bend","OR","97701","/festival-community/image.php?mode=band_image&band_id=82299&width=480&height=crop&theme=Sage","520 Northwest Wall Street, Bend, OR 97701","2,500
					
# Food Booths: local","60
					
Juried: yes
					
Prize Money: na","Downtown Bend Artisans Market","null"
"1672473792-344","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/16393/Coos-Bay-Oregon/Craft-Shows/Blackberry-Arts-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=10","Blackberry Arts Festival","August 2023","Updated 8/1/2022","Downtown","Coos Bay","OR","97420","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=ArtsCraftsShow%2Fart8.jpg","Central Avenue, Coos Bay, OR 97420","teen idol semi‑ final","1,500
					
# Food Booths: 25","Coos Bay Downtown Association","null"
"1672473795-345","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/30638/Chiloquin-Oregon/Pow-Wows/Restoration-Celebration-Pow-Wow","https://festivalnet.com/fairs-festivals/Oregon?page=10","Restoration Celebration Pow Wow","August 2023","Updated 8/3/2022","Klamath Tribes Community Center","Chiloquin","OR","97624","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=NativeAmericanPowWow%2Fpow+wow%2Cpowwow%2Cpow-wow3.jpg","35601 Choke Cherry Way, Chiloquin, OR 97624","tba
					
Juried: 
					
Prize Money: na","Art & Craft: until full
					
Music: na
					
Food: until full","Klamath Tribes","null"
"1672473797-346","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/10134/Albany-Oregon/Festivals/Northwest-Art-and-Air-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=10","Northwest Art and Air Festival","August 2023","Updated 2/9/2022","Timber Linn Park","Albany","OR","97322","/festival-community/image.php?mode=fno_event_image&band_id=10134&fno_event_id=10134&width=480&height=crop&theme=Sage","900 Price Road Southeast, Albany, OR 97322","hot air balloons,  music,  artists,  night glow,  car show,  family zone","60,000
					
# Food Booths: 17","Albany Parks and Recreation","null"
"1672473800-347","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/21680/Canyonville-Oregon/Festivals/Canyonville-Pioneer-Days","https://festivalnet.com/fairs-festivals/Oregon?page=10","Canyonville Pioneer Days","August 2023","Updated 8/23/2022","Pioneer Park","Canyonville","OR","97417","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=FestivalEventFair%2Fdefault8.jpg","305 Southeast Canyon Street, Canyonville, OR 97417","5,000
					
# Food Booths: tba","90
					
Juried: no
					
Prize Money: na","Pioneer Days Festival","null"
"1672473803-348","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/92031/Salem-Oregon/Living-History-Reenactments/Honoring-the-American-Spirit-Week","https://festivalnet.com/fairs-festivals/Oregon?page=10","Honoring the American Spirit Week","August 2023","Updated 8/1/2022","ON the Salem McNary Airfield","Salem","OR","97302","/festival-community/image.php?mode=fno_event_image&band_id=603167&fno_event_id=92031&width=480&height=crop&theme=Sage","3278 25th Street SE, Salem, OR 97302","250
					
# Food Booths: 4","10
					
Juried: no
					
Prize Money: No","B‑17 Alliance Foundation","null"
"1672473809-349","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/22571/Molalla-Oregon/Festivals/Molalla-Heritage-Apple-Festival","https://festivalnet.com/fairs-festivals/Oregon?page=9","Molalla Heritage Apple Festival","August 27, 2022 - August 27, 2023","Updated 8/24/2022","Molalla Area Historical Society","Molalla","OR","97038","/festival-community/image.php?mode=fno_event_image&band_id=464129&fno_event_id=22571&width=480&height=crop&theme=Sage","620 S. Monalla Avenue, Molalla, OR 97038","live music,  living history displays,  cider press,  butter churning demo,  museum store","1,500
					
# Food Booths: local","Molalla Area Historical Society","null"
"1672473812-350","https://festivalnet.com/fairs-festivals/Oregon","","https://festivalnet.com/85700/Molalla-Oregon/Festivals/Celebrate-Molalla","https://festivalnet.com/fairs-festivals/Oregon?page=9","Celebrate Molalla","August 2023","Updated 8/3/2022","Fox Park to 620 S Molalla Ave (three blocks)","Molalla","OR","97038","/festival-community/image.php?mode=fno_event_default_image&width=480&height=crop&image_name=FestivalEventFair%2Fdefault8.jpg","400 S. Molalla Avenue, Molalla, OR 97038","food/music/beer/wine court,  free kid's crafts,  games,  car show,  motorcycle show,  corn‑hole","2,500
					
# Food Booths: 8","Celebrate Molalla, City of Molalla, OR","null"
